"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jun 26 17:34:52 CST 2020","Fri Jun 26 17:34:52 CST 2020","6","","test_lesson","TestLesson","","","test_add_lesson[{
  ""name"":""大学英语{{courseName}}"",
  ""desc"":""大学英语课程"",
  ""display_idx"":""-1""
}
-{""code"":12}]",""
"broken","Fri Jun 26 17:34:52 CST 2020","Fri Jun 26 17:34:52 CST 2020","0","","test_lesson","TestLesson","","","test_delete_lesson[{""action"":""delete_course"",""id"":""-""}-{""code"":2}]",""
"failed","Fri Jun 26 17:34:52 CST 2020","Fri Jun 26 17:34:52 CST 2020","7","","test_lesson","TestLesson","","","test_add_lesson[{
  ""name"":""大学英语{{courseName}}"",
  ""desc"":""大学英语课程"",
  ""display_idx"":""500""
}
-{""code"":10}]",""
"failed","Fri Jun 26 17:34:52 CST 2020","Fri Jun 26 17:34:52 CST 2020","5","","test_lesson","TestLesson","","","test_add_lesson[{
  ""name"":""大学$英语"",
  ""desc"":""大学英语课程"",
  ""display_idx"":""4""
}
-{""code"":14}]",""
"failed","Fri Jun 26 17:34:51 CST 2020","Fri Jun 26 17:34:51 CST 2020","119","","test_lesson","TestLesson","","","test_add_lesson[{
  ""name"":""大学英语大学英语大学英语大学英语大学英语"",
  ""desc"":""大学英语课程"",
  ""display_idx"":""4""
}
-{""code"":4}]",""
"broken","Fri Jun 26 17:34:52 CST 2020","Fri Jun 26 17:34:52 CST 2020","0","","test_lesson","TestLesson","","","test_delete_lesson[{""action"":""delete_course"",""id"":""%""}-{""code"":2}]",""
"failed","Fri Jun 26 17:34:52 CST 2020","Fri Jun 26 17:34:52 CST 2020","5","","test_lesson","TestLesson","","","test_add_lesson[{
  ""name"":""大学。英语"",
  ""desc"":""大学英语课程"",
  ""display_idx"":""4""
}
-{""code"":17}]",""
"broken","Fri Jun 26 17:34:52 CST 2020","Fri Jun 26 17:34:52 CST 2020","0","","test_lesson","TestLesson","","","test_delete_lesson[{""action"":""delete_course"",""id"":""122abc""}-{""code"":2}]",""
"failed","Fri Jun 26 17:34:52 CST 2020","Fri Jun 26 17:34:52 CST 2020","5","","test_lesson","TestLesson","","","test_add_lesson[{
  ""name"":""大学英语"",
  ""desc"":""大学英语课程"",
  ""display_idx"":"",""
}
-{""code"":24}]",""
"broken","Fri Jun 26 17:34:52 CST 2020","Fri Jun 26 17:34:52 CST 2020","0","","test_lesson","TestLesson","","","test_delete_lesson[{""action"":""delete_course"",""id"":""好""}-{""code"":2}]",""
"failed","Fri Jun 26 17:34:52 CST 2020","Fri Jun 26 17:34:52 CST 2020","89","","test_lesson","TestLesson","","","test_add_lesson[{
  ""name"":""大"",
  ""desc"":""大学英语课程"",
  ""display_idx"":""4""
}
-{""code"":7}]",""
